Date,btc_price,btc_open,btc_high,btc_low,btc_change,gold_price,gold_open,gold_high,gold_low,gold_change,sp_price,sp_open,sp_high,sp_low,sp_change,us30_price,us30_open,us30_high,us30_low,us30_change,usidx_price,usidx_open,usidx_high,usidx_low,usidx_change,btc_rsi,direction
2024-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2024-05-12,61480.0,60826.6,61847.7,60647.1,1.07,2366.45,2368.45,2369.9,2366.0,-0.08,5222.68,5225.49,5239.66,5209.68,-0.05,39512.84,39466.52,39579.58,39406.53,0.12,105.33,105.31,105.33,105.29,0.02,45.57912007778318,1.0
2024-05-13,62937.2,61480.5,63443.2,60779.0,2.37,2344.15,2366.4,2370.85,2338.4,-0.94,5221.42,5233.08,5237.26,5211.16,-0.22,39431.64,39591.28,39642.47,39403.62,-0.4,105.2,105.33,105.37,105.06,-0.12,47.50175863686102,1.0
2024-05-14,61569.4,62936.8,63102.6,61156.9,-2.17,2359.9,2342.3,2365.2,2340.5,0.75,5246.68,5221.1,5250.37,5217.98,0.49,39558.11,39466.76,39616.15,39372.15,0.23,105.06,105.2,105.46,104.96,-0.13,51.9594746235479,0.0
2024-05-15,66225.1,61569.4,66417.1,61357.5,7.56,2394.9,2362.9,2396.1,2357.1,1.35,5308.15,5263.26,5311.76,5263.26,0.85,39908.0,39776.97,39932.35,39685.06,0.33,104.21,105.06,105.06,104.18,-0.81,68.50349437137046,1.0
2024-05-16,65231.0,66219.6,66643.9,64623.3,-1.49,2385.5,2391.5,2402.7,2375.2,-0.25,5297.1,5310.07,5325.49,5296.19,-0.24,39869.38,39917.61,40050.58,39864.68,-0.12,104.5,104.21,104.63,104.08,0.28,64.1165369190847,0.0
2024-05-17,67036.8,65231.1,67420.7,65121.7,2.77,2417.4,2381.4,2427.4,2377.8,1.51,5303.27,5303.1,5305.45,5283.59,0.0,40004.35,39911.72,40007.21,39859.58,0.23,104.49,104.5,104.8,104.39,-0.01,60.531505256930544,1.0
2024-05-18,66917.5,67036.6,67361.4,66636.1,-0.18,2417.4,2381.4,2427.4,2377.8,1.51,5303.27,5303.1,5305.45,5283.59,0.0,40004.35,39911.72,40007.21,39859.58,0.23,104.49,104.5,104.8,104.39,-0.01,57.98108147801633,0.0
2024-05-19,66279.1,66919.0,67662.5,65937.3,-0.96,2424.9,2420.0,2429.75,2420.0,0.2,5322.22,5304.88,5323.74,5304.38,0.33,40050.01,39977.98,40053.87,39912.44,0.18,104.48,104.5,104.5,104.46,-0.02,55.591663347935764,0.0
2024-05-20,71422.7,66278.3,71482.8,66076.5,7.76,2438.5,2422.2,2454.2,2411.1,0.67,5308.13,5305.35,5325.32,5302.4,0.05,39807.69,39977.98,40076.78,39787.65,-0.43,104.6,104.48,104.65,104.39,0.11,67.6377956167066,1.0
2024-05-21,71197.2,71430.5,71872.0,70754.4,-0.33,2421.5,2430.3,2436.7,2409.55,-0.36,5308.13,5305.35,5325.32,5302.4,0.05,39807.69,39977.98,40076.78,39787.65,-0.43,104.5,104.6,104.7,104.48,-0.1,69.86794234392272,
